Year,Country,Value
2017,Austria,27.623678226167993
2018,Austria,28.957241506077843
2019,Austria,30.013254009219324
2020,Austria,25.89021253001731
2021,Austria,29.985190541848873
2022,Austria,31.011732473766468
2023,Austria,0.0
2024,Austria,0.0
2000,Bel-Lux,66.0660699952397
2001,Bel-Lux,61.92239341314662
2002,Bel-Lux,74.6445788313658
2003,Bel-Lux,86.53910823959897
2004,Bel-Lux,98.71631272671097
2005,Bel-Lux,99.82801147804273
2006,Bel-Lux,106.81986148190222
2007,Bel-Lux,137.55342516076385
2008,Bel-Lux,159.14053161864786
2009,Bel-Lux,121.81411211008329
2010,Bel-Lux,111.42030893939894
2011,Bel-Lux,123.40067588764234
2012,Bel-Lux,117.5527974893709
2013,Bel-Lux,122.23704091999855
2014,Bel-Lux,115.84633411014471
2015,Bel-Lux,94.43901615126654
2016,Bel-Lux,91.51516608940682
2017,Bel-Lux,98.15038439092244
2018,Bel-Lux,103.02806263521481
2019,Bel-Lux,99.54177474854585
2020,Bel-Lux,101.10005519960605
2021,Bel-Lux,115.28409179020646
2022,Bel-Lux,105.5578093306288
2023,Bel-Lux,100.30419468459814
2024,Bel-Lux,100.78955849178215
2000,Denmark,67.63291450394722
2001,Denmark,72.0751570346012
2002,Denmark,74.35122340941147
2003,Denmark,89.9168690159577
2004,Denmark,96.5426113608621
2005,Denmark,101.27707514356166
2006,Denmark,108.09551355331033
2007,Denmark,131.7467429390723
2008,Denmark,131.9020121891297
2009,Denmark,113.8707507725868
2010,Denmark,118.782021251034
2011,Denmark,130.17011538491917
2012,Denmark,116.54200285715716
2013,Denmark,129.0546743986949
2014,Denmark,131.21821374882038
2015,Denmark,111.09930301542205
2016,Denmark,110.28845937768963
2017,Denmark,113.53488248007798
2018,Denmark,130.28297771210012
2019,Denmark,126.85905642003118
2020,Denmark,133.4686689756544
2021,Denmark,171.18896686940008
2022,Denmark,148.65346448392555
2023,Denmark,0.0
2024,Denmark,0.0
2000,Finland,15.955399871725295
2001,Finland,16.932001546625887
2002,Finland,19.782443382381686
2003,Finland,25.62944275090044
2004,Finland,28.74286222756799
2005,Finland,31.56635031077209
2006,Finland,33.2450072371072
2007,Finland,40.41817633426618
2008,Finland,45.62105831947344
2009,Finland,42.242285714285714
2010,Finland,41.24659354821388
2011,Finland,45.37614285247664
2012,Finland,44.08021395016708
2013,Finland,45.84396791782633
2014,Finland,47.78398659770862
2015,Finland,40.5943501369004
2016,Finland,41.943046270606004
2017,Finland,43.94770003489334
2018,Finland,47.722899366286434
2019,Finland,43.68655789139872
2020,Finland,44.624900406332046
2021,Finland,45.22220861229568
2022,Finland,46.09094207394049
2023,Finland,0.0
2024,Finland,0.0
2000,Germany,20.43810821940547
2001,Germany,20.28371161653147
2002,Germany,20.565809568437054
2003,Germany,25.08025837202626
2004,Germany,28.13151954676426
2005,Germany,27.119445943125175
2006,Germany,29.36446313507336
2007,Germany,33.22255162621331
2008,Germany,37.102676982770774
2009,Germany,33.9552192658153
2010,Germany,33.157233517970894
2011,Germany,39.94662319217461
2012,Germany,38.19064814750716
2013,Germany,40.88698353757637
2014,Germany,41.81352939038643
2015,Germany,34.17486975594209
2016,Germany,33.997214623614695
2017,Germany,35.37815635371714
2018,Germany,38.13713009826792
2019,Germany,35.77534623413891
2020,Germany,36.31943856272105
2021,Germany,40.83800713750531
2022,Germany,33.32693046484825
2023,Germany,31.343954925309532
2024,Germany,31.483584066609897
2000,Greece,1.2645952168317216
2001,Greece,1.4455396982379178
2002,Greece,3.9197036023569902
2003,Greece,2.359884226767596
2004,Greece,2.880762287663175
2005,Greece,2.7015413999198
2006,Greece,3.160162491633185
2007,Greece,3.9738322051803188
2008,Greece,4.747260421143102
2009,Greece,3.809350842879762
2010,Greece,2.843962058748797
2011,Greece,3.1427969598352563
2012,Greece,2.978786815305211
2013,Greece,3.27220147914384
2014,Greece,3.6761039697468636
2015,Greece,3.065553892413401
2016,Greece,3.477472424526755
2017,Greece,3.832303910222605
2018,Greece,4.739629826078692
2019,Greece,5.121840271972147
2020,Greece,3.1613380650274845
2021,Greece,6.091337275432692
2022,Greece,7.08021370237865
2023,Greece,0.0
2024,Greece,0.0
2000,Ireland,37.32003407451558
2001,Ireland,42.331927432024564
2002,Ireland,48.70261693590485
2003,Ireland,57.431875399303216
2004,Ireland,70.48215443633775
2005,Ireland,73.79703940258129
2006,Ireland,79.40997997407831
2007,Ireland,90.14754132670866
2008,Ireland,64.80372674603399
2009,Ireland,65.060195098739
2010,Ireland,67.06767642766529
2011,Ireland,68.68410507442546
2012,Ireland,69.82018562875949
2013,Ireland,68.06613132036975
2014,Ireland,61.96381560090727
2015,Ireland,58.51180689232164
2016,Ireland,64.80731006332887
2017,Ireland,65.50664407966129
2018,Ireland,67.83179564224942
2019,Ireland,66.124577181483
2020,Ireland,79.98500470773145
2021,Ireland,70.19779838709354
2022,Ireland,66.13652175632912
2023,Ireland,0.0
2024,Ireland,0.0
2000,Netherlands,25.5432764109494
2001,Netherlands,29.442229819275074
2002,Netherlands,36.26508882505466
2003,Netherlands,47.24825716246684
2004,Netherlands,50.30095173599737
2005,Netherlands,53.87406867037297
2006,Netherlands,50.37726766246816
2007,Netherlands,63.014602471168665
2008,Netherlands,75.01587106799984
2009,Netherlands,69.09577059915341
2010,Netherlands,67.89011595693766
2011,Netherlands,68.88584431360303
2012,Netherlands,67.9082928460196
2013,Netherlands,69.42512375386487
2014,Netherlands,83.08701604056274
2015,Netherlands,76.36469636729889
2016,Netherlands,72.69921232759718
2017,Netherlands,74.73694415557954
2018,Netherlands,79.8360726580419
2019,Netherlands,76.93086981383078
2020,Netherlands,85.40129900056256
2021,Netherlands,97.23647248919399
2022,Netherlands,85.8119658119658
2023,Netherlands,91.33620448570949
2024,Netherlands,87.55280048274727
2000,Sweden,29.724075743913435
2001,Sweden,30.458501118568233
2002,Sweden,34.076837167746255
2003,Sweden,42.410702341137124
2004,Sweden,44.369463610060095
2005,Sweden,47.116529660075535
2006,Sweden,50.94454918487302
2007,Sweden,66.64810098549441
2008,Sweden,75.61050304035379
2009,Sweden,69.94713024282561
2010,Sweden,67.42967624875162
2011,Sweden,74.85290044789974
2012,Sweden,73.91095254793015
2013,Sweden,81.7424810415414
2014,Sweden,82.7602347956308
2015,Sweden,70.29747164713477
2016,Sweden,71.45960342978016
2017,Sweden,72.24589604897662
2018,Sweden,78.6269739671079
2019,Sweden,77.09666603228378
2020,Sweden,82.28269558513024
2021,Sweden,84.84987020756567
2022,Sweden,80.30160226201697
2023,Sweden,78.95985574641739
2024,Sweden,0.0
2000,Switzerland,83.83334082886259
2001,Switzerland,85.63517289940773
2002,Switzerland,86.85944302739787
2003,Switzerland,105.06581269066146
2004,Switzerland,107.30264155278762
2005,Switzerland,102.52012049106715
2006,Switzerland,109.39757940123158
2007,Switzerland,132.40396589508433
2008,Switzerland,145.0739913790897
2009,Switzerland,131.2616807627736
2010,Switzerland,134.163074914456
2011,Switzerland,150.6965886156738
2012,Switzerland,148.44170731957448
2013,Switzerland,155.85111308623857
2014,Switzerland,148.92441685431396
2015,Switzerland,129.73252454921263
2016,Switzerland,127.67726741684899
2017,Switzerland,137.64844604396734
2018,Switzerland,142.66718715536464
2019,Switzerland,141.21221593130315
2020,Switzerland,143.56778304572737
2021,Switzerland,169.91264394318688
2022,Switzerland,154.09063479249573
2023,Switzerland,0.0
2024,Switzerland,0.0
2000,United Kingdom,42.74412815006259
2001,United Kingdom,46.441249012549434
2002,United Kingdom,50.51434150618926
2003,United Kingdom,58.826786039249285
2004,United Kingdom,70.49723059500147
2005,United Kingdom,68.4468443571769
2006,United Kingdom,68.29395883489742
2007,United Kingdom,82.43646143415458
2008,United Kingdom,84.49439543690599
2009,United Kingdom,70.60808665913963
2010,United Kingdom,68.81043692748497
2011,United Kingdom,75.59288320423059
2012,United Kingdom,78.68484093750335
2013,United Kingdom,77.2734048670076
2014,United Kingdom,78.4210366616288
2015,United Kingdom,69.72798127085318
2016,United Kingdom,62.22362063654761
2017,United Kingdom,62.32096201204151
2018,United Kingdom,65.12977942271604
2019,United Kingdom,65.50787771360876
2020,United Kingdom,66.26456284163517
2021,United Kingdom,71.76445140982102
2022,United Kingdom,71.17968403956888
2023,United Kingdom,73.85515727871251
2024,United Kingdom,72.50715959385576
2000,Bulgaria,0.2872423578991618
2001,Bulgaria,0.1352854850435798
2002,Bulgaria,0.22809320849023365
2003,Bulgaria,0.1750499621767046
2004,Bulgaria,0.2090189250489793
2005,Bulgaria,0.5339579946646426
2006,Bulgaria,1.8928575659448401
2007,Bulgaria,4.056335794802343
2008,Bulgaria,2.147646494494465
2009,Bulgaria,1.477850804392634
2010,Bulgaria,1.6589235963277134
2011,Bulgaria,1.9495885660196761
2012,Bulgaria,2.0182032235698575
2013,Bulgaria,2.1876777774151908
2014,Bulgaria,2.316558899473104
2015,Bulgaria,2.8188925175464226
2016,Bulgaria,2.4129119844404645
2017,Bulgaria,2.9573202183634684
2018,Bulgaria,3.2821614415483227
2019,Bulgaria,3.2982035147093267
2020,Bulgaria,3.304363301132534
2021,Bulgaria,5.184151681687165
2022,Bulgaria,5.226122991503076
2023,Bulgaria,0.0
2024,Bulgaria,0.0
2000,Croatia,0.5201790330474184
2001,Croatia,1.0825961627857184
2002,Croatia,1.3366441598721892
2003,Croatia,2.3691261770958243
2004,Croatia,3.3515253131083536
2005,Croatia,3.5133451468237618
2006,Croatia,4.2702311083755635
2007,Croatia,6.083487760388531
2008,Croatia,6.125866702597195
2009,Croatia,4.99916764212468
2010,Croatia,4.834181110000682
2011,Croatia,5.050046055215937
2012,Croatia,4.279717318876455
2013,Croatia,4.567804405510655
2014,Croatia,7.518256421844029
2015,Croatia,7.635819653733477
2016,Croatia,8.087113089763106
2017,Croatia,7.688779624118643
2018,Croatia,8.644926252588341
2019,Croatia,8.670427506352384
2020,Croatia,7.6452906298333385
2021,Croatia,10.28218048387794
2022,Croatia,10.749268236498594
2023,Croatia,0.0
2024,Croatia,0.0
2000,Georgia,0.036082047689882976
2001,Georgia,0.07088317741078225
2002,Georgia,0.07448236623751704
2003,Georgia,0.13296418387262585
2004,Georgia,0.08780950954213541
2005,Georgia,0.24724113522129482
2006,Georgia,1.766830178535691
2007,Georgia,0.4891315132383779
2008,Georgia,9.638206519007772
2009,Georgia,0.0665203046733892
2010,Georgia,0.1347518455628498
2011,Georgia,0.19198800008978806
2012,Georgia,0.4065017925211657
2013,Georgia,0.5468138639170967
2014,Georgia,0.691024588532381
2015,Georgia,0.5215875404028699
2016,Georgia,0.3276990188109552
2017,Georgia,0.4848757010386304
2018,Georgia,0.9129669871598851
2019,Georgia,0.9304983172043012
2020,Georgia,0.7587740154310563
2021,Georgia,1.041398927083167
2022,Georgia,1.3392695676326019
2023,Georgia,0.0
2024,Georgia,0.0
2000,Hungary,0.19413167947873275
2001,Hungary,0.3388902698826753
2002,Hungary,0.5193729481570194
2003,Hungary,0.6044098354054511
2004,Hungary,0.7333258575362265
2005,Hungary,1.049382746892499
2006,Hungary,2.0460190992506613
2007,Hungary,2.770359662631221
2008,Hungary,3.353064647114591
2009,Hungary,1.8643246517262266
2010,Hungary,1.9438955290402833
2011,Hungary,3.805760025319586
2012,Hungary,3.542612658691286
2013,Hungary,4.043750752103085
2014,Hungary,3.218552126792551
2015,Hungary,2.139890285794168
2016,Hungary,2.4647275638135353
2017,Hungary,2.5063517793175825
2018,Hungary,2.0648832801071393
2019,Hungary,2.538941140024783
2020,Hungary,2.406114717879386
2021,Hungary,2.777676047649249
2022,Hungary,2.773205595854922
2023,Hungary,0.0
2024,Hungary,0.0
2000,Moldova,0.21568487710313333
2001,Moldova,0.40304716032682764
2002,Moldova,1.8422515733035782
2003,Moldova,1.4201332590128632
2004,Moldova,1.3652104833339305
2005,Moldova,2.426411674766368
2006,Moldova,3.316722245499839
2007,Moldova,0.5316181233029039
2008,Moldova,0.3352199730250219
2009,Moldova,0.2477668974890465
2010,Moldova,0.8599347613198463
2011,Moldova,0.6773058858020553
2012,Moldova,0.39518805790731104
2013,Moldova,0.5675348965178119
2014,Moldova,0.46400362336205825
2015,Moldova,0.48148098424721153
2016,Moldova,0.5469217763167482
2017,Moldova,0.5086244138511293
2018,Moldova,0.918907950985363
2019,Moldova,0.8437284430152716
2020,Moldova,0.9699570189380542
2021,Moldova,1.974693827155655
2022,Moldova,1.9299746710526315
2023,Moldova,0.0
2024,Moldova,0.0
2000,Romania,0.055184587545983266
2001,Romania,0.0596128668197726
2002,Romania,0.07833304774874615
2003,Romania,0.10124988198311968
2004,Romania,0.18742548550916951
2005,Romania,0.40837480486433103
2006,Romania,1.6890134809020554
2007,Romania,1.7301087768858185
2008,Romania,4.034591485307006
2009,Romania,0.8878235426513617
2010,Romania,1.3401576964657897
2011,Romania,3.4349127098867913
2012,Romania,2.6680643712493577
2013,Romania,2.499601649623883
2014,Romania,2.2696423906221357
2015,Romania,2.373598702953514
2016,Romania,2.661993209737812
2017,Romania,3.2195061858193728
2018,Romania,3.792152052701733
2019,Romania,3.6017246259016567
2020,Romania,4.166526704659254
2021,Romania,5.671070229753277
2022,Romania,6.420449590441906
2023,Romania,0.0
2024,Romania,0.0
2000,Russia,1.1204962170267876
2001,Russia,1.5386396328515652
2002,Russia,1.6081852813733528
2003,Russia,2.166414890373368
2004,Russia,2.7087110733274335
2005,Russia,3.568891130161932
2006,Russia,2.793853690812211
2007,Russia,4.0933879387174805
2008,Russia,5.126416113488081
2009,Russia,4.19095122142801
2010,Russia,5.779548248033616
2011,Russia,6.971276429200891
2012,Russia,7.40638226543184
2013,Russia,8.529374115560989
2014,Russia,7.9670605967317645
2015,Russia,4.798251343002801
2016,Russia,5.04518887021939
2017,Russia,6.946089558837106
2018,Russia,7.211996431855298
2019,Russia,7.960696782110343
2020,Russia,7.502876596173786
2021,Russia,8.622127388277363
2022,Russia,0.0
2023,Russia,0.0
2024,Russia,0.0
2000,Ukraine,0.28568513416998265
2001,Ukraine,0.288014348148759
2002,Ukraine,0.36448384210416795
2003,Ukraine,0.4561436633310257
2004,Ukraine,0.4079906986576472
2005,Ukraine,0.6170276198385826
2006,Ukraine,1.0950879450879452
2007,Ukraine,1.6168466522678187
2008,Ukraine,1.7683393486106884
2009,Ukraine,1.0187089715536104
2010,Ukraine,0.9559479144639171
2011,Ukraine,2.315161433594203
2012,Ukraine,2.3119186371681804
2013,Ukraine,2.787450318314516
2014,Ukraine,2.12157116526223
2015,Ukraine,1.2452044976983117
2016,Ukraine,1.893013366953567
2017,Ukraine,2.321390134334096
2018,Ukraine,2.830894733987253
2019,Ukraine,3.3110529791459133
2020,Ukraine,4.077559701775003
2021,Ukraine,4.839623644731844
2022,Ukraine,2.8654765329240663
2023,Ukraine,0.0
2024,Ukraine,0.0
2000,Australia,5.948894302272876
2001,Australia,4.756824878970948
2002,Australia,5.894282102606108
2003,Australia,7.021330089970044
2004,Australia,7.602762505822232
2005,Australia,9.26684890458593
2006,Australia,11.348756107548803
2007,Australia,14.576905033997473
2008,Australia,20.087052181252
2009,Australia,21.64585020056369
2010,Australia,20.692327949584683
2011,Australia,20.905861456483127
2012,Australia,26.82025217049867
2013,Australia,27.37687881130293
2014,Australia,26.31408479460675
2015,Australia,23.171612187523554
2016,Australia,22.564065167130778
2017,Australia,25.54755907073693
2018,Australia,25.885749694754598
2019,Australia,23.794167483989735
2020,Australia,24.152050164451364
2021,Australia,29.234292004475588
2022,Australia,29.39506079225152
2023,Australia,24.1510567213484
2024,Australia,0.0
2000,New Zealand,15.869724272224586
2001,New Zealand,16.047886106037065
2002,New Zealand,18.876625423282984
2003,New Zealand,23.966008111039233
2004,New Zealand,25.408563305362474
2005,New Zealand,26.33831866198683
2006,New Zealand,25.934222518130746
2007,New Zealand,31.154677615665854
2008,New Zealand,32.10703145616067
2009,New Zealand,21.450680887214123
2010,New Zealand,24.640705502304908
2011,New Zealand,18.686677163796443
2012,New Zealand,28.704417796766332
2013,New Zealand,29.847417105636936
2014,New Zealand,30.416529184833443
2015,New Zealand,26.451211665272787
2016,New Zealand,27.74527422918171
2017,New Zealand,28.192663813199974
2018,New Zealand,29.965216718072174
2019,New Zealand,28.161301193154266
2020,New Zealand,28.78370592555927
2021,New Zealand,36.05845739535784
2022,New Zealand,31.705355997704228
2023,New Zealand,0.0
2024,New Zealand,0.0
2000,Canada,18.870843882973844
2001,Canada,18.75858643241872
2002,Canada,19.50971314520683
2003,Canada,25.951178783944695
2004,Canada,28.459025888915836
2005,Canada,32.34491299269591
2006,Canada,38.853656938902404
2007,Canada,44.734388938064384
2008,Canada,47.14346194710151
2009,Canada,43.57470431328386
2010,Canada,50.02185808036809
2011,Canada,55.812818325713614
2012,Canada,56.95451170221295
2013,Canada,57.786300934490896
2014,Canada,54.750697988239274
2015,Canada,50.29695126452875
2016,Canada,49.09406678914705
2017,Canada,51.57221651952616
2018,Canada,53.91248527686621
2019,Canada,51.93730082745232
2020,Canada,52.078774901385515
2021,Canada,58.89021743722686
2022,Canada,55.892290629594285
2023,Canada,51.62352237019303
2024,Canada,41.51778974384782
2000,United States,8.290957548607517
2001,United States,8.159991576435077
2002,United States,9.23347744877409
2003,United States,11.754974378073424
2004,United States,12.21893677042137
2005,United States,13.345040141009463
2006,United States,14.642141521635695
2007,United States,16.118288635156667
2008,United States,15.913518808262225
2009,United States,13.637562985820866
2010,United States,14.424544799852855
2011,United States,16.194853573385448
2012,United States,16.11717146660447
2013,United States,16.58533279211518
2014,United States,17.51984013805487
2015,United States,17.53199518917771
2016,United States,17.93102338677876
2017,United States,18.983862419006318
2018,United States,19.716620505906523
2019,United States,19.466686425340953
2020,United States,17.54328282973358
2021,United States,17.756538270173614
2022,United States,20.562331221208325
2023,United States,19.966260095845215
2024,United States,19.66841040219786
2000,Argentina,0.3473307291666667
2001,Argentina,0.2674800463667848
2002,Argentina,0.04766019491109065
2003,Argentina,0.028750255535947032
2004,Argentina,0.03883574996629166
2005,Argentina,0.06089860718942148
2006,Argentina,0.04601111747763744
2007,Argentina,0.07515010363758759
2008,Argentina,0.08846655860520204
2009,Argentina,0.19950143664505143
2010,Argentina,0.5614927897537311
2011,Argentina,0.2993163366972771
2012,Argentina,0.11350454396763962
2013,Argentina,0.13286470484092777
2014,Argentina,0.11906823997284878
2015,Argentina,0.16388534373185143
2016,Argentina,0.24341235835314465
2017,Argentina,1.4583771182979528
2018,Argentina,0.24397457040682916
2019,Argentina,0.10232345651270801
2020,Argentina,0.1090435443973662
2021,Argentina,0.15324486833131168
2022,Argentina,0.17044296555673008
2023,Argentina,0.0
2024,Argentina,0.0
2000,Brazil,0.4636084988026057
2001,Brazil,0.4070886918655002
2002,Brazil,0.33354708266724825
2003,Brazil,0.3768165293458511
2004,Brazil,0.5062987492007925
2005,Brazil,0.5416054410659947
2006,Brazil,0.7779432854923174
2007,Brazil,0.9230804017380607
2008,Brazil,0.9691967427091344
2009,Brazil,1.012622021570844
2010,Brazil,1.3633027217802542
2011,Brazil,1.4936821399595448
2012,Brazil,1.5090481056987628
2013,Brazil,1.4448888915596396
2014,Brazil,1.6018699081954897
2015,Brazil,1.428258846351241
2016,Brazil,1.441917933077592
2017,Brazil,1.8684987510157332
2018,Brazil,1.8753336918318086
2019,Brazil,1.8395290177567603
2020,Brazil,2.0644650163019596
2021,Brazil,2.326814524735601
2022,Brazil,2.309009742945993
2023,Brazil,0.0
2024,Brazil,0.0
2000,Chile,0.28661331095107206
2001,Chile,0.09566602466149643
2002,Chile,0.06976820618638337
2003,Chile,0.048356172171041926
2004,Chile,0.0838170800136918
2005,Chile,0.2271306999881154
2006,Chile,0.3079211153474959
2007,Chile,0.3213526956404349
2008,Chile,0.2679160002198347
2009,Chile,0.1766304218015682
2010,Chile,0.20017657145700765
2011,Chile,0.3249013855241686
2012,Chile,0.40558821763910113
2013,Chile,0.470827031440158
2014,Chile,0.5244614849591573
2015,Chile,0.6496419235588002
2016,Chile,0.48683386626846065
2017,Chile,0.48034790632331154
2018,Chile,0.6132902847600658
2019,Chile,0.6563711194877694
2020,Chile,0.7145096890208245
2021,Chile,1.1754402288382837
2022,Chile,0.8963985369332654
2023,Chile,0.0
2024,Chile,0.0
2000,Mexico,0.5198727980418121
2001,Mexico,0.625862086074643
2002,Mexico,0.6718544023610428
2003,Mexico,0.7426242311822708
2004,Mexico,0.8345022668268299
2005,Mexico,1.0053571942894997
2006,Mexico,1.2072716563111592
2007,Mexico,1.3537689764016234
2008,Mexico,1.6487272119394114
2009,Mexico,1.2976926950329102
2010,Mexico,1.3716424838949197
2011,Mexico,1.5617382236659705
2012,Mexico,1.5773601959435197
2013,Mexico,1.7869346288222467
2014,Mexico,1.7912549976838292
2015,Mexico,1.8735152278500975
2016,Mexico,1.9524707080515171
2017,Mexico,2.0990933599423416
2018,Mexico,2.1490222442348843
2019,Mexico,1.7729835599961055
2020,Mexico,2.1558500605825626
2021,Mexico,3.148980106868278
2022,Mexico,0.0
2023,Mexico,0.0
2024,Mexico,0.0
2000,Uruguay,2.35847917923959
2001,Uruguay,2.012951807228916
2002,Uruguay,0.5972891566265061
2003,Uruguay,0.9493670886075949
2004,Uruguay,1.0497587454764776
2005,Uruguay,1.1971661139583962
2006,Uruguay,1.2882069795427196
2007,Uruguay,1.4303721488595438
2008,Uruguay,1.6699581089168163
2009,Uruguay,1.977389811104751
2010,Uruguay,2.048943321761504
2011,Uruguay,9.612571176591244
2012,Uruguay,3.267208658677277
2013,Uruguay,2.8593550689714484
2014,Uruguay,2.821451924775319
2015,Uruguay,3.149981699242791
2016,Uruguay,3.4995433660684676
2017,Uruguay,3.668509944311854
2018,Uruguay,3.433881151058278
2019,Uruguay,3.3651647338459325
2020,Uruguay,4.614281689056501
2021,Uruguay,4.644704616695756
2022,Uruguay,0.0
2023,Uruguay,0.0
2024,Uruguay,0.0
2000,Algeria,0.00529096582045939
2001,Algeria,0.016227084870277412
2002,Algeria,0.06923757138487821
2003,Algeria,0.08622944713881274
2004,Algeria,0.0008085163892180483
2005,Algeria,0.0074629764960772536
2006,Algeria,0.020176429373349535
2007,Algeria,0.023499267536223493
2008,Algeria,0.08546130552834261
2009,Algeria,0.085025454971034
2010,Algeria,0.06321699212310343
2011,Algeria,0.10478521255827337
2012,Algeria,0.14744668927741117
2013,Algeria,0.19699963737171877
2014,Algeria,0.2282047511073389
2015,Algeria,0.2650445199893016
2016,Algeria,0.24302417974542317
2017,Algeria,0.0
2018,Algeria,0.0
2019,Algeria,0.0
2020,Algeria,0.0
2021,Algeria,0.0
2022,Algeria,0.0
2023,Algeria,0.0
2024,Algeria,0.0
2000,Morocco,0.08411717910671068
2001,Morocco,0.09196272188164065
2002,Morocco,0.12669802002405053
2003,Morocco,0.22840925534583312
2004,Morocco,0.1768842713972959
2005,Morocco,0.2587441495157566
2006,Morocco,0.20144505454042294
2007,Morocco,0.3365429073286652
2008,Morocco,0.4937510371406944
2009,Morocco,0.6235895796707688
2010,Morocco,0.4183000256618027
2011,Morocco,0.5121115089279209
2012,Morocco,0.4272297563465097
2013,Morocco,0.5113888539648541
2014,Morocco,0.3180016935130514
2015,Morocco,0.4323471477808929
2016,Morocco,0.6931005426628151
2017,Morocco,0.8155936421189056
2018,Morocco,0.7524285339587554
2019,Morocco,0.7638191092387459
2020,Morocco,0.702399996652927
2021,Morocco,0.967759607249686
2022,Morocco,0.0
2023,Morocco,0.0
2024,Morocco,0.0
2000,South Africa,0.15967619504286304
2001,South Africa,0.10778458879870992
2002,South Africa,0.1608146119077982
2003,South Africa,0.24338334171133952
2004,South Africa,0.1859087345796268
2005,South Africa,0.26224008249678626
2006,South Africa,0.33338111972033185
2007,South Africa,0.37103481920708165
2008,South Africa,0.3996966150072339
2009,South Africa,0.33955101861669296
2010,South Africa,0.337371302990616
2011,South Africa,0.41977348046491064
2012,South Africa,0.4610441909199246
2013,South Africa,0.4866588657966599
2014,South Africa,0.5212803762569823
2015,South Africa,0.5280554756875446
2016,South Africa,0.5015572905879355
2017,South Africa,0.5036082042842127
2018,South Africa,0.8824665865549889
2019,South Africa,0.9013661730623781
2020,South Africa,0.43296357175468203
2021,South Africa,0.7362829399379854
2022,South Africa,0.8522206553649647
2023,South Africa,0.0
2024,South Africa,0.0
2000,Tunisia,0.03386445834164702
2001,Tunisia,0.029469033164449925
2002,Tunisia,0.035296013340869965
