Year,Country,Value
2010,Austria,19.7
2011,Austria,21.1
2012,Austria,20.1
2013,Austria,21.3
2014,Austria,22.7
2015,Austria,18.4
2016,Austria,18.9
2017,Austria,21.4
2018,Austria,24.6
2019,Austria,24.5
2020,Austria,25.4
2021,Austria,31.1
2022,Austria,29.7
2023,Austria,27.5
2024,Austria,0.0
2000,Bel-Lux,9.0
2001,Bel-Lux,8.4
2002,Bel-Lux,8.7
2003,Bel-Lux,9.8
2004,Bel-Lux,10.4
2005,Bel-Lux,11.9
2006,Bel-Lux,12.2
2007,Bel-Lux,30.1
2008,Bel-Lux,39.2
2009,Bel-Lux,18.8
2010,Bel-Lux,14.5
2011,Bel-Lux,17.5
2012,Bel-Lux,17.9
2013,Bel-Lux,16.9
2014,Bel-Lux,17.2
2015,Bel-Lux,14.2
2016,Bel-Lux,11.8
2017,Bel-Lux,12.4
2018,Bel-Lux,13.9
2019,Bel-Lux,13.5
2020,Bel-Lux,12.7
2021,Bel-Lux,30.3
2022,Bel-Lux,28.1
2023,Bel-Lux,0.0
2024,Bel-Lux,0.0
2000,Denmark,7.2
2001,Denmark,9.2
2002,Denmark,11.2
2003,Denmark,14.1
2004,Denmark,16.4
2005,Denmark,17.1
2006,Denmark,17.5
2007,Denmark,21.9
2008,Denmark,25.3
2009,Denmark,20.9
2010,Denmark,22.2
2011,Denmark,21.0
2012,Denmark,24.3
2013,Denmark,28.5
2014,Denmark,28.9
2015,Denmark,24.6
2016,Denmark,22.5
2017,Denmark,23.9
2018,Denmark,30.8
2019,Denmark,30.4
2020,Denmark,35.6
2021,Denmark,49.4
2022,Denmark,49.4
2023,Denmark,0.0
2024,Denmark,0.0
2000,Finland,0.1
2001,Finland,0.1
2002,Finland,0.2
2003,Finland,0.3
2004,Finland,0.6
2005,Finland,0.7
2006,Finland,0.9
2007,Finland,1.3
2008,Finland,1.7
2009,Finland,2.2
2010,Finland,2.2
2011,Finland,2.2
2012,Finland,1.6
2013,Finland,1.2
2014,Finland,3.9
2015,Finland,4.0
2016,Finland,4.0
2017,Finland,4.3
2018,Finland,4.6
2019,Finland,4.7
2020,Finland,3.9
2021,Finland,3.3
2022,Finland,3.7
2023,Finland,0.0
2024,Finland,0.0
2000,Germany,4.3
2001,Germany,4.4
2002,Germany,4.8
2003,Germany,6.6
2004,Germany,7.3
2005,Germany,8.3
2006,Germany,9.8
2007,Germany,12.2
2008,Germany,13.9
2009,Germany,12.5
2010,Germany,14.0
2011,Germany,16.6
2012,Germany,15.4
2013,Germany,16.3
2014,Germany,16.1
2015,Germany,13.2
2016,Germany,12.8
2017,Germany,13.9
2018,Germany,14.9
2019,Germany,14.2
2020,Germany,12.7
2021,Germany,14.4
2022,Germany,13.6
2023,Germany,13.7
2024,Germany,13.1
2000,Greece,5.5
2001,Greece,4.3
2002,Greece,4.5
2003,Greece,6.9
2004,Greece,7.4
2005,Greece,6.7
2006,Greece,6.5
2007,Greece,7.1
2008,Greece,7.5
2009,Greece,7.4
2010,Greece,6.8
2011,Greece,7.7
2012,Greece,7.4
2013,Greece,7.1
2014,Greece,7.6
2015,Greece,6.9
2016,Greece,7.6
2017,Greece,8.1
2018,Greece,9.3
2019,Greece,8.4
2020,Greece,7.7
2021,Greece,9.6
2022,Greece,10.1
2023,Greece,10.3
2024,Greece,0.0
2000,Ireland,0.3
2001,Ireland,0.3
2002,Ireland,0.4
2003,Ireland,0.6
2004,Ireland,0.2
2005,Ireland,0.6
2006,Ireland,0.3
2007,Ireland,1.3
2008,Ireland,1.2
2009,Ireland,1.4
2010,Ireland,2.7
2011,Ireland,2.3
2012,Ireland,1.0
2013,Ireland,1.1
2014,Ireland,0.8
2015,Ireland,1.0
2016,Ireland,1.2
2017,Ireland,2.1
2018,Ireland,3.1
2019,Ireland,4.1
2020,Ireland,3.0
2021,Ireland,3.5
2022,Ireland,5.5
2023,Ireland,0.0
2024,Ireland,0.0
2000,Netherlands,4.0
2001,Netherlands,4.4
2002,Netherlands,7.6
2003,Netherlands,8.0
2004,Netherlands,5.7
2005,Netherlands,9.2
2006,Netherlands,9.1
2007,Netherlands,12.2
2008,Netherlands,11.8
2009,Netherlands,10.1
2010,Netherlands,10.1
2011,Netherlands,15.6
2012,Netherlands,15.2
2013,Netherlands,14.2
2014,Netherlands,17.5
2015,Netherlands,15.5
2016,Netherlands,17.7
2017,Netherlands,19.0
2018,Netherlands,22.0
2019,Netherlands,20.0
2020,Netherlands,25.3
2021,Netherlands,33.9
2022,Netherlands,29.5
2023,Netherlands,0.0
2024,Netherlands,0.0
2000,Sweden,0.5
2001,Sweden,0.5
2002,Sweden,0.8
2003,Sweden,2.7
2004,Sweden,3.9
2005,Sweden,2.8
2006,Sweden,2.1
2007,Sweden,1.7
2008,Sweden,2.7
2009,Sweden,2.0
2010,Sweden,1.6
2011,Sweden,2.0
2012,Sweden,2.6
2013,Sweden,3.5
2014,Sweden,3.3
2015,Sweden,2.7
2016,Sweden,3.0
2017,Sweden,3.2
2018,Sweden,3.6
2019,Sweden,3.3
2020,Sweden,2.3
2021,Sweden,2.6
2022,Sweden,2.4
2023,Sweden,0.0
2024,Sweden,0.0
2000,Switzerland,5.6
2001,Switzerland,5.3
2002,Switzerland,5.9
2003,Switzerland,8.2
2004,Switzerland,7.2
2005,Switzerland,8.7
2006,Switzerland,14.9
2007,Switzerland,20.3
2008,Switzerland,19.1
2009,Switzerland,11.6
2010,Switzerland,21.0
2011,Switzerland,27.4
2012,Switzerland,21.9
2013,Switzerland,21.2
2014,Switzerland,14.3
2015,Switzerland,13.4
2016,Switzerland,12.3
2017,Switzerland,15.3
2018,Switzerland,15.5
2019,Switzerland,13.3
2020,Switzerland,11.4
2021,Switzerland,16.0
2022,Switzerland,17.0
2023,Switzerland,0.0
2024,Switzerland,0.0
2000,United Kingdom,2.6
2001,United Kingdom,2.6
2002,United Kingdom,3.1
2003,United Kingdom,3.6
2004,United Kingdom,3.5
2005,United Kingdom,3.8
2006,United Kingdom,5.0
2007,United Kingdom,6.3
2008,United Kingdom,6.8
2009,United Kingdom,8.0
2010,United Kingdom,10.3
2011,United Kingdom,13.5
2012,United Kingdom,10.9
2013,United Kingdom,10.6
2014,United Kingdom,11.7
2015,United Kingdom,10.3
2016,United Kingdom,10.0
2017,United Kingdom,10.9
2018,United Kingdom,12.3
2019,United Kingdom,12.4
2020,United Kingdom,10.0
2021,United Kingdom,9.5
2022,United Kingdom,10.1
2023,United Kingdom,0.0
2024,United Kingdom,0.0
2000,Bulgaria,7.8
2001,Bulgaria,8.3
2002,Bulgaria,7.6
2003,Bulgaria,8.8
2004,Bulgaria,10.2
2005,Bulgaria,12.0
2006,Bulgaria,16.7
2007,Bulgaria,15.3
2008,Bulgaria,14.2
2009,Bulgaria,9.2
2010,Bulgaria,8.7
2011,Bulgaria,8.8
2012,Bulgaria,8.2
2013,Bulgaria,8.3
2014,Bulgaria,7.5
2015,Bulgaria,5.8
2016,Bulgaria,5.1
2017,Bulgaria,5.6
2018,Bulgaria,5.3
2019,Bulgaria,5.5
2020,Bulgaria,5.0
2021,Bulgaria,5.2
2022,Bulgaria,4.3
2023,Bulgaria,0.0
2024,Bulgaria,0.0
2000,Croatia,1.6
2001,Croatia,1.8
2002,Croatia,2.2
2003,Croatia,2.6
2004,Croatia,2.8
2005,Croatia,2.2
2006,Croatia,2.6
2007,Croatia,3.1
2008,Croatia,3.1
2009,Croatia,2.9
2010,Croatia,2.7
2011,Croatia,3.3
2012,Croatia,3.7
2013,Croatia,3.0
2014,Croatia,3.6
2015,Croatia,3.2
2016,Croatia,2.8
2017,Croatia,3.5
2018,Croatia,4.6
2019,Croatia,4.3
2020,Croatia,3.5
2021,Croatia,4.9
2022,Croatia,5.2
2023,Croatia,0.0
2024,Croatia,0.0
2000,Georgia,6.6
2001,Georgia,7.9
2002,Georgia,9.0
2003,Georgia,10.6
2004,Georgia,12.2
2005,Georgia,20.7
2006,Georgia,10.5
2007,Georgia,7.5
2008,Georgia,9.5
2009,Georgia,8.3
2010,Georgia,10.3
2011,Georgia,14.3
2012,Georgia,17.3
2013,Georgia,34.3
2014,Georgia,48.5
2015,Georgia,25.8
2016,Georgia,30.5
2017,Georgia,46.0
2018,Georgia,52.8
2019,Georgia,59.9
2020,Georgia,55.8
2021,Georgia,63.7
2022,Georgia,67.4
2023,Georgia,0.0
2024,Georgia,0.0
2000,Hungary,6.3
2001,Hungary,5.8
2002,Hungary,6.3
2003,Hungary,7.0
2004,Hungary,7.1
2005,Hungary,6.9
2006,Hungary,8.0
2007,Hungary,9.1
2008,Hungary,9.9
2009,Hungary,8.9
2010,Hungary,9.6
2011,Hungary,8.8
2012,Hungary,7.9
2013,Hungary,8.5
2014,Hungary,9.5
2015,Hungary,8.3
2016,Hungary,10.1
2017,Hungary,12.0
2018,Hungary,15.1
2019,Hungary,12.5
2020,Hungary,14.1
2021,Hungary,13.9
2022,Hungary,14.9
2023,Hungary,0.0
2024,Hungary,0.0
2000,Moldova,20.7
2001,Moldova,29.6
2002,Moldova,32.9
2003,Moldova,44.2
2004,Moldova,53.3
2005,Moldova,61.2
2006,Moldova,34.7
2007,Moldova,21.6
2008,Moldova,35.1
2009,Moldova,34.2
2010,Moldova,37.5
2011,Moldova,36.6
2012,Moldova,40.5
2013,Moldova,43.8
2014,Moldova,33.5
2015,Moldova,29.8
2016,Moldova,33.5
2017,Moldova,40.4
2018,Moldova,43.9
2019,Moldova,44.9
2020,Moldova,43.6
2021,Moldova,46.1
2022,Moldova,41.7
2023,Moldova,0.0
2024,Moldova,0.0
2000,Romania,0.8
2001,Romania,0.9
2002,Romania,1.0
2003,Romania,1.1
2004,Romania,1.2
2005,Romania,1.0
2006,Romania,1.4
2007,Romania,1.0
2008,Romania,2.4
2009,Romania,0.9
2010,Romania,0.8
2011,Romania,1.0
2012,Romania,1.0
2013,Romania,1.1
2014,Romania,1.2
2015,Romania,1.2
2016,Romania,1.2
2017,Romania,1.4
2018,Romania,1.8
2019,Romania,1.8
2020,Romania,1.8
2021,Romania,2.1
2022,Romania,2.0
2023,Romania,0.0
2024,Romania,0.0
2000,Russia,0.0
2001,Russia,0.0
2002,Russia,0.0
2003,Russia,0.0
2004,Russia,0.0
2005,Russia,0.0
2006,Russia,0.1
2007,Russia,0.0
2008,Russia,0.0
2009,Russia,0.0
2010,Russia,0.0
2011,Russia,0.0
2012,Russia,0.0
2013,Russia,0.0
2014,Russia,0.0
2015,Russia,0.0
2016,Russia,0.1
2017,Russia,0.1
2018,Russia,0.1
2019,Russia,0.1
2020,Russia,0.1
2021,Russia,0.1
2022,Russia,0.0
2023,Russia,0.0
2024,Russia,0.0
2000,Ukraine,0.2
2001,Ukraine,0.4
2002,Ukraine,0.3
2003,Ukraine,0.4
2004,Ukraine,0.4
2005,Ukraine,0.6
2006,Ukraine,0.7
2007,Ukraine,0.9
2008,Ukraine,1.1
2009,Ukraine,1.4
2010,Ukraine,1.1
2011,Ukraine,0.9
2012,Ukraine,1.1
2013,Ukraine,1.8
2014,Ukraine,0.8
2015,Ukraine,0.8
2016,Ukraine,0.5
2017,Ukraine,0.8
2018,Ukraine,0.9
2019,Ukraine,0.3
2020,Ukraine,0.3
2021,Ukraine,0.4
2022,Ukraine,0.2
2023,Ukraine,0.0
2024,Ukraine,0.0
2000,Australia,41.6
2001,Australia,49.1
2002,Australia,58.3
2003,Australia,79.3
2004,Australia,91.5
2005,Australia,101.8
2006,Australia,100.6
2007,Australia,114.6
2008,Australia,104.2
2009,Australia,86.6
2010,Australia,89.5
2011,Australia,89.7
2012,Australia,85.4
2013,Australia,76.6
2014,Australia,71.0
2015,Australia,68.4
2016,Australia,70.6
2017,Australia,81.8
2018,Australia,86.9
2019,Australia,80.9
2020,Australia,79.3
2021,Australia,61.9
2022,Australia,55.1
2023,Australia,47.4
2024,Australia,61.7
2000,New Zealand,23.4
2001,New Zealand,25.1
2002,New Zealand,32.5
2003,New Zealand,39.6
2004,New Zealand,60.5
2005,New Zealand,80.8
2006,New Zealand,95.4
2007,New Zealand,133.1
2008,New Zealand,141.3
2009,New Zealand,150.3
2010,New Zealand,182.4
2011,New Zealand,197.8
2012,New Zealand,224.3
2013,New Zealand,231.1
2014,New Zealand,251.0
2015,New Zealand,235.8
2016,New Zealand,242.7
2017,New Zealand,254.6
2018,New Zealand,251.2
2019,New Zealand,251.4
2020,New Zealand,256.9
2021,New Zealand,272.3
2022,New Zealand,272.1
2023,New Zealand,247.8
2024,New Zealand,232.8
2000,Canada,0.2
2001,Canada,0.3
2002,Canada,0.3
2003,Canada,0.3
2004,Canada,0.5
2005,Canada,0.6
2006,Canada,0.6
2007,Canada,0.7
2008,Canada,0.6
2009,Canada,0.6
2010,Canada,0.8
2011,Canada,1.2
2012,Canada,1.3
2013,Canada,1.6
2014,Canada,1.8
2015,Canada,1.8
2016,Canada,1.9
2017,Canada,1.9
2018,Canada,1.8
2019,Canada,1.7
2020,Canada,1.4
2021,Canada,2.1
2022,Canada,2.2
2023,Canada,2.3
2024,Canada,2.0
2000,United States,1.9
2001,United States,1.8
2002,United States,1.8
2003,United States,2.1
2004,United States,2.5
2005,United States,2.1
2006,United States,2.7
2007,United States,3.0
2008,United States,3.2
2009,United States,2.9
2010,United States,3.6
2011,United States,4.3
2012,United States,4.4
2013,United States,4.7
2014,United States,4.6
2015,United States,4.8
2016,United States,4.9
2017,United States,4.6
2018,United States,4.4
2019,United States,4.2
2020,United States,3.9
2021,United States,4.3
2022,United States,4.3
2023,United States,3.7
2024,United States,3.6
2000,Argentina,4.0
2001,Argentina,3.9
2002,Argentina,3.2
2003,Argentina,4.4
2004,Argentina,5.8
2005,Argentina,7.9
2006,Argentina,9.7
2007,Argentina,12.5
2008,Argentina,16.1
2009,Argentina,15.6
2010,Argentina,18.0
2011,Argentina,20.5
2012,Argentina,22.3
2013,Argentina,21.0
2014,Argentina,19.8
2015,Argentina,19.0
2016,Argentina,18.8
2017,Argentina,18.4
2018,Argentina,18.5
2019,Argentina,17.8
2020,Argentina,17.3
2021,Argentina,18.3
2022,Argentina,17.9
2023,Argentina,14.3
2024,Argentina,14.9
2000,Brazil,0.0
2001,Brazil,0.0
2002,Brazil,0.0
2003,Brazil,0.0
2004,Brazil,0.0
2005,Brazil,0.0
2006,Brazil,0.0
2007,Brazil,0.0
2008,Brazil,0.0
2009,Brazil,0.1
2010,Brazil,0.0
2011,Brazil,0.0
2012,Brazil,0.0
2013,Brazil,0.1
2014,Brazil,0.1
2015,Brazil,0.0
2016,Brazil,0.0
2017,Brazil,0.0
2018,Brazil,0.0
2019,Brazil,0.0
2020,Brazil,0.0
2021,Brazil,0.1
2022,Brazil,0.1
2023,Brazil,0.0
2024,Brazil,0.0
2000,Chile,38.0
2001,Chile,38.6
2002,Chile,39.0
2003,Chile,43.0
2004,Chile,52.1
2005,Chile,54.2
2006,Chile,58.8
2007,Chile,75.9
2008,Chile,82.1
2009,Chile,81.5
2010,Chile,90.3
2011,Chile,97.6
2012,Chile,103.7
2013,Chile,107.8
2014,Chile,105.5
2015,Chile,103.6
2016,Chile,103.1
2017,Chile,110.9
2018,Chile,107.9
2019,Chile,102.3
2020,Chile,94.9
2021,Chile,101.1
2022,Chile,97.5
2023,Chile,100.3
2024,Chile,101.2
2000,Mexico,0.0
2001,Mexico,0.0
2002,Mexico,0.0
2003,Mexico,0.0
2004,Mexico,0.0
2005,Mexico,0.0
2006,Mexico,0.0
2007,Mexico,0.0
2008,Mexico,0.0
2009,Mexico,0.0
2010,Mexico,0.0
2011,Mexico,0.0
2012,Mexico,0.0
2013,Mexico,0.0
2014,Mexico,0.0
2015,Mexico,0.0
2016,Mexico,0.0
2017,Mexico,0.0
2018,Mexico,0.0
2019,Mexico,0.0
2020,Mexico,0.0
2021,Mexico,0.0
2022,Mexico,0.1
2023,Mexico,0.0
2024,Mexico,0.0
2000,Uruguay,2.1
2001,Uruguay,1.8
2002,Uruguay,1.3
2003,Uruguay,1.2
2004,Uruguay,1.0
2005,Uruguay,1.2
2006,Uruguay,1.5
2007,Uruguay,2.7
2008,Uruguay,3.1
2009,Uruguay,1.6
2010,Uruguay,2.4
2011,Uruguay,2.5
2012,Uruguay,4.6
2013,Uruguay,3.9
2014,Uruguay,2.7
2015,Uruguay,2.5
2016,Uruguay,2.8
2017,Uruguay,4.2
2018,Uruguay,6.1
2019,Uruguay,4.8
2020,Uruguay,5.2
2021,Uruguay,5.5
2022,Uruguay,5.4
2023,Uruguay,0.0
2024,Uruguay,0.0
2000,Algeria,0.2
2001,Algeria,0.1
2002,Algeria,0.1
2003,Algeria,0.1
2004,Algeria,0.1
2005,Algeria,0.1
2006,Algeria,0.1
2007,Algeria,0.1
2008,Algeria,0.1
2009,Algeria,0.0
2010,Algeria,0.0
2011,Algeria,0.0
2012,Algeria,0.0
2013,Algeria,0.0
2014,Algeria,0.0
2015,Algeria,0.0
2016,Algeria,0.0
2017,Algeria,0.0
2018,Algeria,0.0
2019,Algeria,0.0
2020,Algeria,0.0
2021,Algeria,0.0
2022,Algeria,0.0
2023,Algeria,0.0
2024,Algeria,0.0
2000,Morocco,0.2
2001,Morocco,0.2
2002,Morocco,0.3
2003,Morocco,0.3
2004,Morocco,0.4
2005,Morocco,0.3
2006,Morocco,0.3
2007,Morocco,0.3
2008,Morocco,0.3
2009,Morocco,0.3
2010,Morocco,0.3
2011,Morocco,0.3
2012,Morocco,0.2
2013,Morocco,0.3
2014,Morocco,0.4
2015,Morocco,0.3
2016,Morocco,0.3
2017,Morocco,0.3
2018,Morocco,0.3
2019,Morocco,0.3
2020,Morocco,0.2
2021,Morocco,0.1
2022,Morocco,0.1
2023,Morocco,0.0
2024,Morocco,0.0
2000,South Africa,5.3
2001,South Africa,4.8
2002,South Africa,6.0
2003,South Africa,8.8
2004,South Africa,11.0
2005,South Africa,12.2
2006,South Africa,10.7
2007,South Africa,13.4
2008,South Africa,15.1
2009,South Africa,14.1
2010,South Africa,15.2
2011,South Africa,14.5
2012,South Africa,13.8
2013,South Africa,16.2
2014,South Africa,14.5
2015,South Africa,12.1
2016,South Africa,11.8
2017,South Africa,12.7
2018,South Africa,13.7
2019,South Africa,11.5
2020,South Africa,10.7
2021,South Africa,12.7
2022,South Africa,11.6
2023,South Africa,10.2
2024,South Africa,10.2
2000,Tunisia,0.6
2001,Tunisia,0.6
2002,Tunisia,0.5
2003,Tunisia,0.9
2004,Tunisia,0.8
2005,Tunisia,1.0
2006,Tunisia,0.7
2007,Tunisia,0.7
2008,Tunisia,1.1
2009,Tunisia,0.7
2010,Tunisia,0.5
2011,Tunisia,0.6
2012,Tunisia,0.4
2013,Tunisia,0.3
2014,Tunisia,0.3
2015,Tunisia,0.3
2016,Tunisia,0.3
2017,Tunisia,0.3
2018,Tunisia,0.3
2019,Tunisia,0.3
2020,Tunisia,0.1
2021,Tunisia,0.1
2022,Tunisia,0.1
2023,Tunisia,0.0
2024,Tunisia,0.0
2000,Turkey,0.1
2001,Turkey,0.1
2002,Turkey,0.1
2003,Turkey,0.1
2004,Turkey,0.1
2005,Turkey,0.1
2006,Turkey,0.1
2007,Turkey,0.1
2008,Turkey,0.1
2009,Turkey,0.1
2010,Turkey,0.1
2011,Turkey,0.1
2012,Turkey,0.1
2013,Turkey,0.2
2014,Turkey,0.1
2015,Turkey,0.1
2016,Turkey,0.1
2017,Turkey,0.1
2018,Turkey,0.2
2019,Turkey,0.2
2020,Turkey,0.1
2021,Turkey,0.1
2022,Turkey,0.2
2023,Turkey,0.0
2024,Turkey,0.0
2000,China,0.0
2001,China,0.0
2002,China,0.0
2003,China,0.0
2004,China,0.0
2005,China,0.0
2006,China,0.0
2007,China,0.0
2008,China,0.0
2009,China,0.0
2010,China,0.0
2011,China,0.0
2012,China,0.0
2013,China,0.0
2014,China,0.1
2015,China,0.3
2016,China,0.4
2017,China,0.3
2018,China,0.3
2019,China,0.1
2020,China,0.0
2021,China,0.1
2022,China,0.0
2023,China,0.0
2024,China,0.0
2000,Hong Kong,1.2
2001,Hong Kong,1.1
2002,Hong Kong,1.3
2003,Hong Kong,1.3
2004,Hong Kong,2.0
2005,Hong Kong,2.7
2006,Hong Kong,4.1
2007,Hong Kong,10.5
2008,Hong Kong,12.5
2009,Hong Kong,13.8
2010,Hong Kong,24.1
2011,Hong Kong,34.2
2012,Hong Kong,31.5
2013,Hong Kong,28.2
2014,Hong Kong,43.2
2015,Hong Kong,83.2
2016,Hong Kong,90.0
2017,Hong Kong,76.0
2018,Hong Kong,58.4
2019,Hong Kong,25.7
2020,Hong Kong,15.5
2021,Hong Kong,27.4
2022,Hong Kong,39.6
2023,Hong Kong,0.0
2024,Hong Kong,0.0
2000,India,0.0
2001,India,0.0
2002,India,0.0
2003,India,0.0
2004,India,0.0
2005,India,0.0
2006,India,0.0
2007,India,0.0
2008,India,0.0
2009,India,0.0
2010,India,0.0
2011,India,0.0
2012,India,0.0
2013,India,0.0
2014,India,0.0
2015,India,0.0
2016,India,0.0
2017,India,0.0
2018,India,0.0
2019,India,0.0
2020,India,0.0
2021,India,0.0
2022,India,0.0
2023,India,0.0
2024,India,0.0
2000,Japan,0.0
2001,Japan,0.0
2002,Japan,0.0
2003,Japan,0.0
2004,Japan,0.0
2005,Japan,0.0
2006,Japan,0.0
2007,Japan,0.0
2008,Japan,0.0
2009,Japan,0.0
2010,Japan,0.0
2011,Japan,0.0
2012,Japan,0.0
2013,Japan,0.0
2014,Japan,0.0
2015,Japan,0.0
2016,Japan,0.0
2017,Japan,0.0
2018,Japan,0.0
2019,Japan,0.0
2020,Japan,0.0
2021,Japan,0.0
2022,Japan,0.0
2023,Japan,0.0
2024,Japan,0.0
2000,Korea,0.0
2001,Korea,0.0
2002,Korea,0.0
2003,Korea,0.0
2004,Korea,0.0
2005,Korea,0.0
2006,Korea,0.0
2007,Korea,0.0
2008,Korea,0.0
2009,Korea,0.0
2010,Korea,0.0
2011,Korea,0.0
2012,Korea,0.0
2013,Korea,0.0
2014,Korea,0.0
2015,Korea,0.0
2016,Korea,0.0
2017,Korea,0.0
2018,Korea,0.0
2019,Korea,0.0
2020,Korea,0.0
2021,Korea,0.0
2022,Korea,0.0
2023,Korea,0.0
2024,Korea,0.0
2000,Malaysia,0.1
2001,Malaysia,0.1
2002,Malaysia,0.1
2003,Malaysia,0.2
2004,Malaysia,0.4
2005,Malaysia,0.5
2006,Malaysia,0.5
2007,Malaysia,0.6
2008,Malaysia,0.6
2009,Malaysia,0.7
2010,Malaysia,1.0
2011,Malaysia,1.2
2012,Malaysia,1.0
2013,Malaysia,1.0
2014,Malaysia,1.3
2015,Malaysia,1.9
2016,Malaysia,1.9
2017,Malaysia,1.5
2018,Malaysia,0.6
2019,Malaysia,0.8
2020,Malaysia,1.0
2021,Malaysia,0.6
2022,Malaysia,0.5
2023,Malaysia,0.0
2024,Malaysia,0.0
2000,Philippines,0.0
2001,Philippines,0.0
2002,Philippines,0.0
2003,Philippines,0.0
2004,Philippines,0.0
2005,Philippines,0.0
2006,Philippines,0.0
2007,Philippines,0.0
2008,Philippines,0.0
2009,Philippines,0.0
2010,Philippines,0.0
2011,Philippines,0.0
2012,Philippines,0.0
2013,Philippines,0.0
2014,Philippines,0.0
2015,Philippines,0.0
2016,Philippines,0.0
2017,Philippines,0.0
2018,Philippines,0.0
2019,Philippines,0.0
2020,Philippines,0.0
2021,Philippines,0.0
2022,Philippines,0.0
2023,Philippines,0.0
2024,Philippines,0.0
2000,Singapore,17.3
2001,Singapore,14.4
2002,Singapore,17.0
2003,Singapore,23.6
2004,Singapore,33.8
2005,Singapore,38.5
2006,Singapore,48.7
2007,Singapore,61.2
2008,Singapore,61.9
2009,Singapore,38.5
2010,Singapore,52.4
2011,Singapore,67.9
2012,Singapore,79.6
2013,Singapore,74.7
2014,Singapore,81.6
2015,Singapore,76.8
2016,Singapore,79.6
2017,Singapore,82.5
2018,Singapore,86.6
2019,Singapore,88.3
2020,Singapore,62.2
2021,Singapore,100.2
2022,Singapore,101.4
2023,Singapore,0.0
2024,Singapore,0.0
2000,Taiwan,0.0
2001,Taiwan,0.0
2002,Taiwan,0.1
2003,Taiwan,0.1
2004,Taiwan,0.0
2005,Taiwan,0.0
2006,Taiwan,0.1
2007,Taiwan,0.0
2008,Taiwan,0.0
2009,Taiwan,0.0
2010,Taiwan,0.1
2011,Taiwan,0.0
2012,Taiwan,0.0
2013,Taiwan,0.0
2014,Taiwan,0.0
2015,Taiwan,0.0
2016,Taiwan,0.0
2017,Taiwan,0.0
2018,Taiwan,0.0
2019,Taiwan,0.0
2020,Taiwan,0.0
2021,Taiwan,0.0
2022,Taiwan,0.0
2023,Taiwan,0.0
2024,Taiwan,0.0
2000,Thailand,0.0
2001,Thailand,0.0
2002,Thailand,0.0
2003,Thailand,0.0
2004,Thailand,0.1
2005,Thailand,0.1
2006,Thailand,0.1
2007,Thailand,0.1
2008,Thailand,0.2
2009,Thailand,0.2
2010,Thailand,0.2
2011,Thailand,0.3
2012,Thailand,0.4
2013,Thailand,0.4
2014,Thailand,0.4
2015,Thailand,0.4
2016,Thailand,0.4
2017,Thailand,0.4
2018,Thailand,0.6
2019,Thailand,0.7
2020,Thailand,0.6
2021,Thailand,0.7
2022,Thailand,1.0
2023,Thailand,0.0
2024,Thailand,0.0
